"6 Digit County District Number","District Name","District 2024 Attendance: All Students Days Present","District 2024 Attendance: Two or More Races Days Present","District 2024 Attendance: Asian Days Present","District 2024 Attendance: Pacific Islander Days Present","District 2024 Attendance: African American Days Present","District 2024 Attendance: Hispanic Days Present","District 2024 Attendance: White Days Present","District 2024 Attendance: American Indian Days Present","District 2024 Attendance: Econ Disadv Days Present","District 2024 Attendance: Special Ed Days Present","District 2024 Attendance: Female Days Present","District 2024 Attendance: Male Days Present","District 2024 Attendance: EB/EL Days Present","District 2024 Attendance: At Risk Days Present","District 2024 Attendance: All Students Days Membership","District 2024 Attendance: Two or More Races Days Membership","District 2024 Attendance: Asian Days Membership","District 2024 Attendance: Pacific Islander Days Membership","District 2024 Attendance: African American Days Membership","District 2024 Attendance: Hispanic Days Membership","District 2024 Attendance: White Days Membership","District 2024 Attendance: American Indian Days Membership","District 2024 Attendance: Econ Disadv Days Membership","District 2024 Attendance: Special Ed Days Membership","District 2024 Attendance: Female Days Membership","District 2024 Attendance: Male Days Membership","District 2024 Attendance: EB/EL Days Membership","District 2024 Attendance: At Risk Days Membership","District 2024 Attendance: All Students Rate","District 2024 Attendance: Two or More Races Rate","District 2024 Attendance: Asian Rate","District 2024 Attendance: Pacific Islander Rate","District 2024 Attendance: African American Rate","District 2024 Attendance: Hispanic Rate","District 2024 Attendance: White Rate","District 2024 Attendance: American Indian Rate","District 2024 Attendance: Econ Disadv Rate","District 2024 Attendance: Special Ed Rate","District 2024 Attendance: Female Rate","District 2024 Attendance: Male Rate","District 2024 Attendance: EB/EL Rate","District 2024 Attendance: At Risk Rate","2024 district Chronic Absenteeism All Students Group: Numerator","2024 district Chronic Absenteeism All Students Group: Denominator","2024 district Chronic Absenteeism African American Group: Numerator","2024 district Chronic Absenteeism African American Group: Denominator","2024 district Chronic Absenteeism Hispanic Group: Numerator","2024 district Chronic Absenteeism Hispanic Group: Denominator","2024 district Chronic Absenteeism White Group: Numerator","2024 district Chronic Absenteeism White Group: Denominator","2024 district Chronic Absenteeism American Indian Group: Numerator","2024 district Chronic Absenteeism American Indian Group: Denominator","2024 district Chronic Absenteeism Asian Group: Numerator","2024 district Chronic Absenteeism Asian Group: Denominator","2024 district Chronic Absenteeism Pacific Islander Group: Numerator","2024 district Chronic Absenteeism Pacific Islander Group: Denominator","2024 district Chronic Absenteeism Two or More Races Group: Numerator","2024 district Chronic Absenteeism Two or More Races Group: Denominator","2024 district Chronic Absenteeism Econ Disadv Group: Numerator","2024 district Chronic Absenteeism Econ Disadv Group: Denominator","2024 district Chronic Absenteeism Special Ed Group: Numerator","2024 district Chronic Absenteeism Special Ed Group: Denominator","2024 district Chronic Absenteeism ELL Group: Numerator","2024 district Chronic Absenteeism ELL Group: Denominator","2024 district Chronic Absenteeism At Risk Group: Numerator","2024 district Chronic Absenteeism At Risk Group: Denominator","2024 district Chronic Absenteeism All Students Group: Rate","2024 district Chronic Absenteeism African American Group: Rate","2024 district Chronic Absenteeism Hispanic Group: Rate","2024 district Chronic Absenteeism White Group: Rate","2024 district Chronic Absenteeism American Indian Group: Rate","2024 district Chronic Absenteeism Asian Group: Rate","2024 district Chronic Absenteeism Pacific Islander Group: Rate","2024 district Chronic Absenteeism Two or More Races Group: Rate","2024 district Chronic Absenteeism Econ Disadv Group: Rate","2024 district Chronic Absenteeism Special Ed Group: Rate","2024 district Chronic Absenteeism ELL Group: Rate","2024 district Chronic Absenteeism At Risk Group: Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, All Students, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Male, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Female, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Asian, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, African American, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Hispanic, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, American Indian, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Pacific Islander, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Two or More Races, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, White, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Econ Disadv, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Special Ed, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, At Risk, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, EB/EL, Numerator","Annual Dropout Rate, Grades 07-08, SY 2023-24, All Students, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Male, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Female, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Asian, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, African American, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Hispanic, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, American Indian, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Pacific Islander, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Two or More Races, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, White, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Econ Disadv, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, Special Ed, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, At Risk, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, EB/EL, Denominator","Annual Dropout Rate, Grades 07-08, SY 2023-24, All Students, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Male, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Female, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Asian, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, African American, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Hispanic, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, American Indian, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Pacific Islander, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Two or More Races, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, White, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Econ Disadv, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, Special Ed, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, At Risk, Rate","Annual Dropout Rate, Grades 07-08, SY 2023-24, EB/EL, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, All Students, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Male, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Female, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Asian, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, African American, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Hispanic, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, American Indian, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Pacific Islander, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Two or More Races, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, White, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Econ Disadv, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Special Ed, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, At Risk, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, EB/EL, Numerator","Annual Dropout Rate, Grades 09-12, SY 2023-24, All Students, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Male, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Female, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Asian, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, African American, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Hispanic, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, American Indian, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Pacific Islander, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Two or More Races, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, White, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Econ Disadv, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, Special Ed, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, At Risk, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, EB/EL, Denominator","Annual Dropout Rate, Grades 09-12, SY 2023-24, All Students, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Male, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Female, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Asian, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, African American, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Hispanic, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, American Indian, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Pacific Islander, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Two or More Races, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, White, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Econ Disadv, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, Special Ed, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, At Risk, Rate","Annual Dropout Rate, Grades 09-12, SY 2023-24, EB/EL, Rate"
DISTRICT,DISTNAME,DA0AT24N,D20AT24N,D30AT24N,D40AT24N,DB0AT24N,DH0AT24N,DW0AT24N,DI0AT24N,DE0AT24N,DS0AT24N,DF0AT24N,DM0AT24N,DL0AT24N,DR0AT24N,DA0AT24D,D20AT24D,D30AT24D,D40AT24D,DB0AT24D,DH0AT24D,DW0AT24D,DI0AT24D,DE0AT24D,DS0AT24D,DF0AT24D,DM0AT24D,DL0AT24D,DR0AT24D,DA0AT24R,D20AT24R,D30AT24R,D40AT24R,DB0AT24R,DH0AT24R,DW0AT24R,DI0AT24R,DE0AT24R,DS0AT24R,DF0AT24R,DM0AT24R,DL0AT24R,DR0AT24R,DA0CA24N,DA0CA24D,DB0CA24N,DB0CA24D,DH0CA24N,DH0CA24D,DW0CA24N,DW0CA24D,DI0CA24N,DI0CA24D,D30CA24N,D30CA24D,D40CA24N,D40CA24D,D20CA24N,D20CA24D,DE0CA24N,DE0CA24D,DS0CA24N,DS0CA24D,DL0CA24N,DL0CA24D,DR0CA24N,DR0CA24D,DA0CA24R,DB0CA24R,DH0CA24R,DW0CA24R,DI0CA24R,D30CA24R,D40CA24R,D20CA24R,DE0CA24R,DS0CA24R,DL0CA24R,DR0CA24R,DA0708DR24N,DM0708DR24N,DF0708DR24N,D30708DR24N,DB0708DR24N,DH0708DR24N,DI0708DR24N,D40708DR24N,D20708DR24N,DW0708DR24N,DE0708DR24N,DS0708DR24N,DR0708DR24N,DL0708DR24N,DA0708DR24D,DM0708DR24D,DF0708DR24D,D30708DR24D,DB0708DR24D,DH0708DR24D,DI0708DR24D,D40708DR24D,D20708DR24D,DW0708DR24D,DE0708DR24D,DS0708DR24D,DR0708DR24D,DL0708DR24D,DA0708DR24R,DM0708DR24R,DF0708DR24R,D30708DR24R,DB0708DR24R,DH0708DR24R,DI0708DR24R,D40708DR24R,D20708DR24R,DW0708DR24R,DE0708DR24R,DS0708DR24R,DR0708DR24R,DL0708DR24R,DA0912DR24N,DM0912DR24N,DF0912DR24N,D30912DR24N,DB0912DR24N,DH0912DR24N,DI0912DR24N,D40912DR24N,D20912DR24N,DW0912DR24N,DE0912DR24N,DS0912DR24N,DR0912DR24N,DL0912DR24N,DA0912DR24D,DM0912DR24D,DF0912DR24D,D30912DR24D,DB0912DR24D,DH0912DR24D,DI0912DR24D,D40912DR24D,D20912DR24D,DW0912DR24D,DE0912DR24D,DS0912DR24D,DR0912DR24D,DL0912DR24D,DA0912DR24R,DM0912DR24R,DF0912DR24R,D30912DR24R,DB0912DR24R,DH0912DR24R,DI0912DR24R,D40912DR24R,D20912DR24R,DW0912DR24R,DE0912DR24R,DS0912DR24R,DR0912DR24R,DL0912DR24R
"001902","CAYUGA ISD",82927,3943,-1,,3942,8517,66281,,39820,14373,39281,43646,1289,33005,87343,4232,-1,,4156,9023,69680,,42161,15267,41400,45943,1330,35018,94.9,93.2,-1,,94.9,94.4,95.1,,94.4,94.1,94.9,95,96.9,94.3,65,567,6,27,6,60,49,452,,,-1,-1,,,-3,-3,41,278,14,98,0,9,34,224,11.5,22.2,10,10.8,,-1,,15.4,14.7,14.3,0,15.2,0,0,0,,0,0,,,0,0,0,0,0,-1,107,58,49,,6,15,,,5,81,55,19,33,-1,0,0,0,,0,0,,,0,0,0,0,0,-1,1,1,0,-1,-3,1,,,0,0,0,0,0,-1,194,108,86,-1,-3,20,,,10,155,82,34,74,-1,0.5,0.9,0,-1,0,5,,,0,0,0,0,0,-1
"001903","ELKHART ISD",149251,5075,-1,-1,7125,19604,116281,-1,82940,21568,71701,77550,4588,45808,155726.5,5342,-1,-1,7474,20434.5,121268,-1,87153.5,22704,74879,80847.5,4728,48143,95.8,95,-1,-1,95.3,95.9,95.9,-1,95.2,95,95.8,95.9,97,95.1,80,1106,5,53,12,152,60,855,-1,-1,-1,-1,-1,-1,3,38,53,616,17,161,0,33,37,352,7.2,9.4,7.9,7,-1,-1,-1,7.9,8.6,10.6,0,10.5,0,0,0,,0,0,-1,,-3,0,0,0,0,-1,194,103,91,,14,26,-1,,-3,146,110,21,73,-1,0,0,0,,0,0,-1,,0,0,0,0,0,-1,0,0,0,-1,0,0,,-1,0,0,0,0,0,-1,338,174,164,-1,13,50,,-1,6,267,167,46,56,-1,0,0,0,-1,0,0,,-1,0,0,0,0,0,-1
"001904","FRANKSTON ISD",105899,3936,1269,,8730,13614,78046,-1,52455,20501,51229,54670,4375,37103,111145,4209,1307,,9129,14168,82022,-1,55215,21592,53911,57234,4531,39101,95.3,93.5,97.1,,95.6,96.1,95.2,-1,95,94.9,95,95.5,96.6,94.9,88,771,6,67,6,98,68,564,-1,-1,-3,-3,,,8,31,42,382,18,148,2,31,33,275,11.4,9,6.1,12.1,-1,0,,25.8,11,12.2,6.5,12,0,0,0,-1,0,0,-1,,-1,0,0,0,0,-1,129,66,63,-1,11,16,-1,,-1,95,73,27,48,-1,0,0,0,-1,0,0,-1,,-1,0,0,0,0,-1,0,0,0,-3,0,0,-1,,0,0,0,0,0,0,273,132,141,-3,27,34,-1,,18,188,131,41,93,14,0,0,0,0,0,0,-1,,0,0,0,0,0,0
"001906","NECHES ISD",45250,1177,-1,,3489,6053,34214,-1,21840,7717,21981,23269,-1,15121,47070,1239,-1,,3646,6236,35619,-1,22848,8040,22973,24097,-1,15800,96.1,95,-1,,95.7,97.1,96.1,-1,95.6,96,95.7,96.6,-1,95.7,16,298,1,24,0,40,14,224,-1,-1,-1,-1,,,1,8,10,145,1,51,0,5,6,101,5.4,4.2,0,6.3,-1,-1,,12.5,6.9,2,0,5.9,0,0,0,-1,0,0,-1,,-1,0,0,0,0,-1,55,24,31,-1,5,9,-1,,-1,37,29,5,10,-1,0,0,0,-1,0,0,-1,,-1,0,0,0,0,-1,0,0,0,,-3,0,,,-1,0,0,0,0,-1,102,47,55,,-3,14,,,-1,80,48,18,27,-1,0,0,0,,0,0,,,-1,0,0,0,0,-1
"001907","PALESTINE ISD",444806,19759,4781,-1,106040,195248,118161,-1,356879,76461,207620,237186,84053,246158,467314.5,21090,5037,-1,111031,204047.5,125240,-1,375586.5,81384.5,217745.5,249569,87692,259518,95.2,93.7,94.9,-1,95.5,95.7,94.3,-1,95,94,95.3,95,95.9,94.9,359,2977,84,713,111,1269,132,812,-1,-1,5,33,-1,-1,26,144,295,2370,98,531,47,547,233,1632,12.1,11.8,8.7,16.3,-1,15.2,-1,18.1,12.4,18.5,8.6,14.3,0,0,0,-3,0,0,,-1,0,0,0,0,0,0,478,256,222,-3,114,192,,-1,22,142,370,71,252,118,0,0,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,-3,0,0,-1,,0,0,0,0,0,0,1083,584,499,-3,239,482,-1,,51,301,847,162,576,176,0,0,0,0,0,0,-1,,0,0,0,0,0,0
"001908","WESTWOOD ISD",187267,8301,-1,,38152,49415,89334,1250,145644,37885,91631,95636,14809,97120,198185,8937,-1,,40418,51912,94753,1332,154470,40088,96974,101211,15446,102699,94.5,92.9,-1,,94.4,95.2,94.3,93.8,94.3,94.5,94.5,94.5,95.9,94.6,212,1287,45,266,41,335,104,610,2,8,0,5,,,20,63,157,985,43,256,11,103,96,654,16.5,16.9,12.2,17,25,0,,31.7,15.9,16.8,10.7,14.7,1,0,1,,0,1,-1,,-3,0,1,0,0,1,225,106,119,,47,61,-1,,-3,104,179,38,123,20,0.4,0,0.8,,0,1.6,-1,,0,0,0.6,0,0,5,0,0,0,-1,0,0,-1,,0,0,0,0,0,0,445,236,209,-1,94,126,-1,,29,190,327,77,270,39,0,0,0,-1,0,0,-1,,0,0,0,0,0,0
"001909","SLOCUM ISD",42526.5,1212,-1,,,4405,36605.5,,16039.5,9352,22780.5,19746,890,12424,44166.5,1256,-1,,,4574,38022.5,,16688.5,9756,23652.5,20514,923,12989,96.3,96.5,-1,,,96.3,96.3,,96.1,95.9,96.3,96.3,96.4,95.7,13,297,,,3,31,10,255,,,-1,-1,,,-3,-3,8,116,3,67,1,6,7,92,4.4,,9.7,3.9,,-1,,0,6.9,4.5,16.7,7.6,0,0,0,,,-3,,,-1,0,0,0,0,-1,56,28,28,,,-3,,,-1,46,23,15,24,-1,0,0,0,,,0,,,-1,0,0,0,0,-1,0,0,0,,,-3,,,-1,0,0,0,0,,82,35,47,,,-3,,,-1,73,23,13,19,,0,0,0,,,0,,,-1,0,0,0,0,
"002901","ANDREWS ISD",603406,9984,2656,-1,2924,424747,160297,2677,284982,94157,296522,306884,105844,305689,645976,10696,2702,-1,3275,454878,171421,2867,306905,101720,318129,327847,112189,328630,93.4,93.3,98.3,-1,89.3,93.4,93.5,93.4,92.9,92.6,93.2,93.6,94.3,93,821,4067,8,22,580,2865,218,1081,3,17,-3,-3,-1,-1,11,65,443,1918,155,643,102,715,439,2046,20.2,36.4,20.2,20.2,17.6,0,-1,16.9,23.1,24.1,14.3,21.5,0,0,0,-1,0,0,-1,,0,0,0,0,0,0,657,326,331,-1,5,451,-1,,12,187,334,104,335,104,0,0,0,-1,0,0,-1,,0,0,0,0,0,0,2,1,1,-1,0,2,-3,,0,0,2,0,1,0,1319,683,636,-1,10,912,-3,,20,365,554,177,625,159,0.2,0.1,0.2,-1,0,0.2,0,,0,0,0.4,0,0.2,0
"003801","PINEYWOODS COMMUNITY ACADEMY",119905,4129,1484,-1,18687,38159,56430,-1,71312,21424,61444,58461,7578,54045,126632,4364,1538,-1,19651,40239,59801,-1,75338,22794,65302,61330,7980,57529,94.7,94.6,96.5,-1,95.1,94.8,94.4,-1,94.7,94,94.1,95.3,95,93.9,125,896,16,139,34,277,69,430,-3,-3,1,12,-1,-1,5,31,72,527,30,160,8,54,72,405,14,11.5,12.3,16,0,8.3,-1,16.1,13.7,18.8,14.8,17.8,0,0,0,-1,0,0,-1,,0,0,0,0,0,0,183,93,90,-1,23,60,-1,,5,92,107,33,78,11,0,0,0,-1,0,0,-1,,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,270,127,143,-1,48,78,-1,-1,9,131,148,31,113,14,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0
