district_id,district_name,attendance_rate,chronic_absenteeism_rate,dropout_rate,student_count,econ_disadv_pct,eb_el_pct,special_ed_pct,at_risk_pct,hispanic_pct,african_american_pct,white_pct,math_meets_pct,reading_meets_pct
001902,CAYUGA ISD,94.9,11.5,0.5,575,45.9,0.9,13.7,39.7,10.3,6.3,78.8,60.0,65.0
001903,ELKHART ISD,95.8,7.2,0.0,1187,51.7,3.4,14.0,34.5,13.9,3.8,77.4,46.0,63.0
001904,FRANKSTON ISD,95.3,11.4,0.0,811,50.4,2.7,17.8,39.6,13.8,8.1,72.5,55.0,65.0
001906,NECHES ISD,96.1,5.4,0.0,337,49.0,2.4,16.6,36.5,15.4,7.1,73.6,67.0,66.0
001907,PALESTINE ISD,95.2,12.1,0.0,3182,80.7,19.0,16.4,51.3,43.7,23.6,26.3,42.0,44.0
001908,WESTWOOD ISD,94.5,16.5,0.0,1387,80.2,6.3,19.3,44.8,24.9,21.2,47.3,22.0,34.0
001909,SLOCUM ISD,96.3,4.4,0.0,323,46.7,2.2,20.4,34.4,10.5,0.3,86.4,54.0,68.0
002901,ANDREWS ISD,93.4,20.2,0.2,4201,52.3,19.0,14.8,50.4,71.3,0.4,26.2,38.0,49.0
003801,PINEYWOODS COMMUNITY ACADEMY,94.7,14.0,0.0,1061,55.2,6.7,15.6,43.9,33.2,14.7,45.5,50.0,63.0
003902,HUDSON ISD,94.5,13.3,0.5,2774,50.6,8.0,18.7,41.3,27.6,6.3,60.1,61.0,65.0
003903,LUFKIN ISD,93.2,21.0,2.4,6850,86.8,22.1,16.4,68.0,46.6,27.4,20.8,33.0,44.0
003904,HUNTINGTON ISD,93.7,19.6,0.0,1560,47.1,1.2,22.6,41.7,8.4,3.3,84.8,44.0,53.0
003905,DIBOLL ISD,93.7,19.9,0.9,1575,68.9,12.1,15.6,58.1,51.5,11.6,33.1,33.0,48.0
003906,ZAVALLA ISD,93.0,25.7,0.0,303,72.6,0.0,24.4,57.1,1.7,0.3,94.7,14.0,39.0
003907,CENTRAL ISD,93.6,19.4,1.1,1493,62.2,5.0,22.0,47.0,22.8,4.3,69.4,32.0,46.0
004901,ROCKPORT-FULTON ISD,93.1,23.2,1.4,2913,63.2,6.4,16.1,61.8,45.7,1.8,46.9,30.0,45.0
005901,ARCHER CITY ISD,94.6,15.6,0.0,483,42.7,1.2,16.8,33.3,15.1,0.2,79.3,72.0,77.0
005902,HOLLIDAY ISD,96.4,4.3,0.0,1116,20.5,1.4,15.4,31.6,11.9,0.5,83.7,61.0,75.0
005904,WINDTHORST ISD,96.8,3.9,0.0,505,45.5,7.5,10.5,22.4,22.8,0.8,75.6,73.0,80.0
006902,CLAUDE ISD,95.3,9.4,1.1,297,27.3,0.7,12.5,25.6,10.4,2.4,84.8,59.0,68.0
007901,CHARLOTTE ISD,94.4,18.4,0.7,422,65.6,9.7,19.4,76.8,81.5,0.5,17.8,28.0,44.0
007902,JOURDANTON ISD,94.5,15.2,0.8,1548,49.9,3.8,20.4,44.4,62.2,1.0,34.8,43.0,52.0
007904,LYTLE ISD,92.8,25.3,1.3,1820,72.3,16.6,14.8,62.0,83.6,0.6,13.7,24.0,39.0
007905,PLEASANTON ISD,92.9,22.4,0.9,3392,64.4,6.8,17.7,52.8,73.6,0.6,23.4,34.0,44.0
007906,POTEET ISD,90.1,38.2,1.9,1836,76.0,11.9,19.5,65.3,88.5,0.5,9.9,24.0,41.0
008901,BELLVILLE ISD,95.2,11.6,0.0,2306,42.5,11.4,14.7,36.1,32.3,7.0,56.4,42.0,56.0
008902,SEALY ISD,94.4,15.3,0.5,3091,67.1,22.5,19.1,51.3,56.6,7.6,30.0,39.0,47.0
008903,BRAZOS ISD,95.4,10.4,0.0,866,56.0,18.8,17.8,43.3,54.3,5.1,37.5,49.0,60.0
009901,MULESHOE ISD,94.8,13.3,0.0,1328,86.4,34.6,15.3,56.3,87.7,0.2,11.4,35.0,45.0
010901,MEDINA ISD,94.8,13.2,0.0,243,58.0,0.4,18.1,49.0,26.3,4.5,67.5,43.0,59.0
010902,BANDERA ISD,94.3,16.3,1.9,2210,50.9,7.0,20.0,48.3,37.1,0.5,58.5,39.0,47.0
011901,BASTROP ISD,92.1,27.8,0.2,13281,67.1,46.0,14.5,71.7,76.7,2.8,17.6,26.0,36.0
011902,ELGIN ISD,89.9,33.1,2.2,5941,80.0,49.4,14.5,76.8,78.2,8.6,10.0,20.0,31.0
011904,SMITHVILLE ISD,93.2,21.0,0.8,1842,46.4,11.2,18.8,45.9,36.3,4.9,53.6,35.0,48.0
011905,MCDADE ISD,93.7,19.4,0.0,375,54.9,23.7,18.7,52.3,57.6,0.5,37.6,30.0,44.0
